t,Beta_0,Beta_1,Gamma_0,Delta_0,Q99,Median,Mean,Year,Q99.SE,cond.num,n.robust
0.007633588,1.618767874,-0.006448914,-0.226622561,0.255923378,430692.1709,96255.11492,117288.1249,1892,258026.9217,28878.72763,46
0.015267176,1.611387631,-0.00639164,-0.222358457,0.267972101,443656.1714,95986.10035,117928.7678,1893,188103.5024,16224.73401,47
0.022900763,1.601963672,-0.006384303,-0.227363057,0.266167274,439577.5191,95432.78515,117141.9772,1894,191011.9363,15322.04384,48
0.030534351,1.591825615,-0.006296512,-0.233884806,0.259424589,430166.4306,94807.08428,115920.6,1895,246446.5775,20353.78059,49
0.038167939,1.583548826,-0.006122663,-0.229184164,0.273708729,445561.5941,94505.6604,116696.4674,1896,175569.4503,12038.88208,50
0.045801527,1.574541694,-0.006010781,-0.229057339,0.282659324,454382.2816,94082.84183,116909.6378,1897,154412.2944,10522.20253,51
0.053435115,1.56445224,-0.005897344,-0.231706762,0.288739394,459293.4962,93555.11101,116759.8006,1898,144823.4336,9220.665784,52
0.061068702,1.554273851,-0.005744786,-0.236197114,0.290175569,458603.7082,92981.58638,116186.4995,1899,144957.6881,7867.62202,53
0.06870229,1.544354107,-0.00553916,-0.240112906,0.290807903,457290.9409,92427.72389,115587.7795,1900,143899.0995,6688.260086,54
0.076335878,1.534873714,-0.005310567,-0.242714169,0.294449127,459715.8749,91924.49773,115289.2496,1901,135132.431,6191.585786,55
0.083969466,1.526353014,-0.005064871,-0.243093764,0.301921686,467268.3985,91513.87513,115422.01,1902,125382.7741,5665.675985,56
0.091603053,1.517504953,-0.004846518,-0.244606896,0.309569208,474751.7096,91070.17275,115519.2074,1903,118569.1821,5736.997029,57
0.099236641,1.507709017,-0.004619906,-0.250708235,0.309527401,471788.7671,90487.83093,114784.977,1904,118487.6245,5056.823555,58
0.106870229,1.499496885,-0.004406965,-0.252904692,0.31600897,477839.6935,90062.34104,114801.4646,1905,112905.8175,5533.855838,59
0.114503817,1.490970764,-0.004360262,-0.257677827,0.320420023,480553.3125,89576.57087,114538.8956,1906,97570.63931,5628.173126,60
0.122137405,1.481745976,-0.004303565,-0.265233007,0.319959748,476508.8279,89000.93719,113739.8519,1907,97833.64252,4954.954078,61
0.129770992,1.473080887,-0.004267685,-0.27080198,0.323791081,478231.2845,88495.48141,113392.5939,1908,173413.4533,757.8547903,62
0.13740458,1.463011756,-0.004227557,-0.280388862,0.322947633,472905.5141,87848.10479,112442.9283,1909,95993.41571,5602.722952,63
0.145038168,1.453615821,-0.004183166,-0.287192545,0.327217477,474591.5513,87290.3041,112045.603,1910,94969.24138,6317.249938,64
0.152671756,1.443676604,-0.004164569,-0.295023381,0.331461696,475829.2276,86690.89099,111580.0705,1911,93709.41539,7271.822568,65
0.160305344,1.43318682,-0.004246804,-0.304236754,0.334466596,475061.471,86041.43521,110934.3071,1912,93750.56214,5542.198451,66
0.167938931,1.422217666,-0.004299013,-0.314802726,0.335978421,472008.2404,85345.84067,110093.363,1913,87366.76482,7427.644658,67
0.175572519,1.411328814,-0.004394903,-0.323970183,0.340061956,472493.9541,84682.27336,109517.9036,1914,84495.47858,8624.429337,68
0.183206107,1.399953434,-0.004453791,-0.334837699,0.341930272,469724.5253,83965.81204,108676.4111,1915,85085.45923,8046.596598,69
0.190839695,1.388893947,-0.00446967,-0.345342374,0.343973167,467329.5658,83272.15893,107880.6649,1916,97591.06007,3518.358115,70
0.198473282,1.373799817,-0.004521139,-0.371022541,0.324598149,435529.1823,82118.14203,104697.7385,1917,85092.64707,6975.959844,71
0.20610687,1.363502702,-0.00447239,-0.380722772,0.326328052,433270.9743,81477.96017,103960.47,1918,84938.60693,6218.627105,72
0.213740458,1.355016813,-0.004385709,-0.38614377,0.332140218,436958.5669,80996.12986,103765.7398,1919,84997.10714,5695.588412,73
0.221374046,1.346080199,-0.004305218,-0.395759144,0.329997457,430742.617,80417.29667,102818.9614,1920,85443.92691,5212.927376,74
0.229007634,1.334221187,-0.00428142,-0.420190269,0.303894996,396036.1251,79445.60985,99597.30101,1921,91302.88663,5366.20538,75
0.236641221,1.324488675,-0.004231639,-0.439008398,0.284041429,371914.393,78675.3855,97259.76379,1922,103116.2855,6295.519192,76
0.244274809,1.316263854,-0.004116031,-0.45024591,0.277742206,362835.8632,78110.56217,96127.31667,1923,106540.0555,7025.981103,77
0.251908397,1.309675687,-0.003956287,-0.456217336,0.278810945,361615.9594,77710.3749,95680.11822,1924,105257.6595,6415.070441,78
0.259541985,1.303408737,-0.003785065,-0.460172735,0.284135276,364536.9537,77360.85474,95561.39842,1925,97951.5551,6430.796069,79
0.267175573,1.296041906,-0.003646336,-0.470514352,0.27963751,357402.0305,76856.98273,94617.70343,1926,99965.63035,6539.628917,80
0.27480916,1.287837484,-0.00353063,-0.486474492,0.265636917,341409.934,76224.98513,92950.75819,1927,113691.6388,9335.497803,81
0.282442748,1.281735469,-0.003352508,-0.494688936,0.26319647,336997.3572,75817.7477,92279.36645,1928,631802.3909,210894.5484,82
0.290076336,1.276145063,-0.003149004,-0.499469049,0.268182598,339176.3973,75493.13193,92136.07251,1929,109295.4701,9203.406286,83
0.297709924,1.27181924,-0.002922533,-0.50051396,0.277439722,345814.7931,75284.78735,92401.97821,1930,319850.846,55286.58557,84
0.305343511,1.267155326,-0.00271567,-0.503324759,0.284595707,350449.0409,75034.33364,92491.39043,1931,92199.45804,6568.437733,85
0.312977099,1.26284998,-0.002503971,-0.506599066,0.289772969,353462.1859,74792.13741,92476.85333,1932,93988.06658,6535.945517,86
0.320610687,1.257229498,-0.002298841,-0.51717632,0.283792046,345369.9115,74375.69325,91549.25234,1933,99089.47271,7247.839596,87
0.328244275,1.252258723,-0.00206958,-0.526652648,0.278574438,338423.2683,74007.46984,90742.61367,1934,106795.4201,8354.463799,88
0.335877863,1.248166149,-0.001817322,-0.534058805,0.275954695,334199.5288,73713.24262,90188.65717,1935,112511.8386,9143.49093,89
0.34351145,1.244330382,-0.001550424,-0.53933733,0.277857642,334008.6715,73465.92668,89952.94894,1936,128550.9651,14490.63692,90
0.351145038,1.240167873,-0.001270021,-0.547867152,0.275053114,329402.9818,73156.42609,89359.89142,1937,114860.9219,10598.70148,91
0.358778626,1.23435823,-0.000988519,-0.566442698,0.25620846,310901.7257,72622.43873,87609.33055,1938,140738.36,19580.83007,91
0.366412214,1.23188652,-0.000681963,-0.569721326,0.261016129,313262.8147,72472.89134,87639.70251,1939,116672.8064,13390.94947,91
0.374045802,1.229503672,-0.000391424,-0.573699896,0.265063947,314953.3634,72318.72352,87619.70677,1940,114841.8925,12458.6946,91
