"t","Beta_0","Beta_1","Gamma_0","Phi_0","Q100","Median","Mean","Q100.SE","Q100.LL","Q100.UL","Year","Peak","n.window"
0.00892857142857143,0.63839342781759,-0.007767298476699,-1.81747167983116,-0.0638293900744239,19326.6019976428,10458.8462295147,10840.7512829933,1613.30024424077,16164.5916226812,22488.6123726044,1912,17200,46
0.0178571428571429,0.629724077517364,-0.00771732567885046,-1.82539220850794,-0.0637031622484749,19122.1546563182,10321.8592095008,10700.9870801906,1665.39058508126,15858.0490893669,22386.2602232696,1913,11500,47
0.0267857142857143,0.621335349866385,-0.0076627758331448,-1.83114895051565,-0.0634243856505927,18946.3146351727,10191.041623181,10568.5112076796,1839.4660048056,15341.027514968,22551.6017553775,1914,10600,48
0.0357142857142857,0.613014558817962,-0.00758913759878682,-1.83531938895474,-0.0633032620840183,18783.8371865576,10062.6228850037,10438.7457786669,1524.63488674156,15795.6077189709,21772.0666541444,1915,6500,49
0.0446428571428571,0.605404372708078,-0.00756425862872858,-1.83802301231418,-0.0628339911118559,18653.0664589296,9946.197945522,10322.1724866314,2663.70482143276,13432.3009434757,23873.8319743835,1916,6770,50
0.0535714285714286,0.597477598012263,-0.00754177851448584,-1.84449470220936,-0.0633173236461076,18462.9308270632,9821.64408733298,10194.3059202285,3083.89366565777,12418.6103102228,24507.2513439036,1917,8200,51
0.0625,0.589655749772076,-0.00751189121574975,-1.8496353240761,-0.063525166857082,18292.8353935399,9699.87888614975,10070.2506565498,3125.70037033391,12166.5752412219,24419.0955458578,1918,8120,52
0.0714285714285714,0.581806025382369,-0.00746679241024332,-1.85449073136609,-0.0640697699141403,18118.7735343661,9577.91187612481,9945.50178686287,2993.6441682482,12251.3387820713,23986.208286661,1919,12300,53
0.0803571428571429,0.574091803375068,-0.00740694568484514,-1.85775907408436,-0.0646981156005015,17960.3067322341,9459.33081095455,9824.58704174797,1769.61755934823,14491.9200495019,21428.6934149663,1920,10000,54
0.0892857142857143,0.566302930033103,-0.00733096087311427,-1.86125777000011,-0.0657984867882579,17789.763205453,9339.37667542001,9701.38267265742,1826.04516972948,14210.7804386398,21368.7459722661,1921,11300,55
